Ivanov A.D.,100,1.31538,good
Karpov P.J.,126,4.5865,good
Bessonov L.E.,251,2.18959,good
Pakhomov A.N.,192,6.78865,good
Kolosov N.Y.,207,9.34693,good
Emelianov I.K.,144,5.19416,good
Nikitin T.A.,109,0.345721,good
Goriunov A.L.,236,5.297,good
Goriunov N.A.,236,0.0769819,good
Shvetsov I.B.,287,0.668422,good
Larin J.N.,177,6.86773,good
Zubkov M.Y.,204,9.30436,good
Alekhin T.K.,267,5.26929,good
Kozlov B.N.,106,6.53919,good
Solovev J.N.,110,7.01191,good
Tretiakov Y.P.,206,7.62198,good
Orekhov F.A.,234,0.474645,good
Popov P.G.,101,3.28234,good
Larin M.P.,177,7.5641,good
Kuzmin Z.I.,113,3.65339,good
Avdeev F.Z.,183,9.8255,good
Latyshev P.P.,238,7.53356,good
Ryzhov N.B.,218,0.726859,good
Grekov M.Y.,287,8.84707,good
Kapustin F.J.,270,4.36411,good
Kruglov S.K.,205,4.77732,good
Belov F.F.,118,2.74907,good
Panteleev I.D.,231,1.66507,good
Avdeev K.Y.,183,8.97656,good
Ozerov Y.B.,240,0.605643,good
Korshunov Y.K.,282,5.04523,good
Meshkov K.G.,253,3.19033,good
Mikheev Z.K.,152,4.93977,good
Nikitin F.B.,109,0.907329,good
Bychkov Z.B.,247,0.737491,good
Ushakov K.I.,165,3.84142,good
Bulgakov F.Y.,227,9.13817,good
Bessonov L.J.,252,4.64446,good
Gribov Y.A.,299,0.50084,good
Korotkov P.S.,173,7.70205,good
Kondratev T.D.,149,1.25365,good
Riabinin A.N.,297,6.88455,good
Ostrovskii T.M.,245,6.29543,good
Glukhov P.P.,251,7.25412,good
Pimenov Z.Y.,230,8.88572,good
Dmitriev E.G.,114,3.06322,good
Kriuchkov G.K.,226,5.13274,good
KHudiakov M.T.,277,8.45982,good
Simonov J.T.,154,8.41511,good
Panin F.J.,187,4.15395,good
IAshin L.J.,254,4.67917,good
Kornilov F.E.,196,1.78328,good
Malyshev D.L.,147,5.71655,good
Prokofev S.A.,155,0.330538,good
ZHdanov L.K.,172,4.9848,good
Shcherbakov Z.P.,133,7.48293,good
Kopylov L.Y.,197,8.90737,good
Anokhin M.T.,280,8.4204,good
Korshunov D.E.,282,2.12752,good
Romanov P.D.,112,1.30427,good
Lykov B.F.,281,2.74588,good
Pokrovskii A.J.,201,4.14293,good
Berezin A.P.,203,7.0982,good
Fadeev Y.F.,164,2.39911,good
Kukushkin E.G.,298,3.1754,good
Shilov Y.N.,199,6.52059,good
Skvortsov D.N.,153,6.81346,good
Kovalev I.I.,118,3.87725,good
Cherniaev K.D.,290,1.47533,good
Korolev L.T.,114,8.45576,good
Rodin M.Z.,200,9.55409,good
Nikulin L.D.,177,1.48152,good
KHaritonov Z.I.,155,4.08767,good
Postnikov D.L.,283,5.64899,good
Tretiakov F.K.,206,4.88515,good
Shirokov J.Z.,193,9.61095,good
Agapov D.E.,289,1.99757,good
Zaitsev G.M.,110,6.29269,good
Meshkov D.N.,253,6.51254,good
Tumanov M.S.,254,8.03073,good
Izmailov F.K.,266,4.76432,good
Mironov I.E.,125,2.0325,good
Mikhailov A.Y.,103,9.01673,good
Sevastianov J.D.,238,1.42021,good
KHromov Z.I.,274,4.10313,good
Aleshin D.Y.,226,8.85648,good
Bychkov B.D.,247,1.62199,good
Shevelev B.I.,245,3.65339,good
Fedosov F.D.,300,1.35109,good
ZHilin S.J.,278,4.55307,good
Gromov G.J.,146,4.523,good
Eliseev S.Y.,161,9.31674,good
Platonov N.E.,170,2.15248,good
Agafonov N.Y.,203,9.08922,good
Starostin F.T.,218,8.6086,good
Kapustin K.K.,270,5.05956,good
Spiridonov M.S.,182,8.17561,good
Kondratov P.J.,269,4.62245,good
Belousov Z.M.,154,6.32739,good
Karasev J.T.,183,8.24697,good
Shmelev N.N.,207,7.02207,good
Larionov Z.Z.,194,9.54415,good
Voronov T.F.,157,2.89316,good
Maslov L.K.,135,5.14435,good
Fomin B.J.,130,4.14028,good
Makeev L.T.,214,8.76566,good
Shcheglov J.P.,261,7.29748,good
Pavlov T.P.,106,7.15642,good
Rozhkov S.P.,207,7.06535,good
Pankratov P.A.,200,0.190924,good
Dobrynin Y.K.,292,5.24987,good
Vishnevskii J.B.,250,0.651939,good
Zubov P.K.,211,4.88943,good
Sizov N.N.,279,6.82049,good
Kozyrev E.Y.,225,9.16634,good
Kondratov T.Y.,269,8.90019,good
Martynov L.D.,132,1.39195,good
Ermakov J.Z.,142,9.89362,good
Ananev E.J.,243,4.46023,good
Kulikov G.K.,126,5.14659,good
Kovalev T.J.,118,4.39726,good
Prokofev J.S.,155,8.0665,good
Smirnov I.E.,100,2.11519,good
Karasev Z.D.,183,1.53604,good
Lebedev M.M.,105,6.1635,good
KHomiakov A.A.,242,0.00878999,good
Ermilov S.P.,288,7.27335,good
Panov G.J.,148,4.17724,good
Rodionov N.N.,136,6.80562,good
KHokhlov E.T.,163,8.3642,good
