Ivanov A.D.,100,1.31538
Karpov P.J.,126,4.5865
Bessonov L.E.,251,2.18959
Pakhomov A.N.,192,6.78865
Kolosov N.Y.,207,9.34693
Emelianov I.K.,144,5.19416
Nikitin T.A.,109,0.345721
Goriunov A.L.,236,5.297
Goriunov N.A.,236,0.0769819
Shvetsov I.B.,287,0.668422
Larin J.N.,177,6.86773
Zubkov M.Y.,204,9.30436
Alekhin T.K.,267,5.26929
Kozlov B.N.,106,6.53919
Solovev J.N.,110,7.01191
Tretiakov Y.P.,206,7.62198
Orekhov F.A.,234,0.474645
Popov P.G.,101,3.28234
Larin M.P.,177,7.5641
Kuzmin Z.I.,113,3.65339
Avdeev F.Z.,183,9.8255
Latyshev P.P.,238,7.53356
Ryzhov N.B.,218,0.726859
Grekov M.Y.,287,8.84707
Kapustin F.J.,270,4.36411
Kruglov S.K.,205,4.77732
Belov F.F.,118,2.74907
Panteleev I.D.,231,1.66507
Avdeev K.Y.,183,8.97656
Ozerov Y.B.,240,0.605643
Korshunov Y.K.,282,5.04523
Meshkov K.G.,253,3.19033
Mikheev Z.K.,152,4.93977
Nikitin F.B.,109,0.907329
Bychkov Z.B.,247,0.737491
Ushakov K.I.,165,3.84142
Bulgakov F.Y.,227,9.13817
Bessonov L.J.,252,4.64446
Gribov Y.A.,299,0.50084
Korotkov P.S.,173,7.70205
Kondratev T.D.,149,1.25365
Riabinin A.N.,297,6.88455
Ostrovskii T.M.,245,6.29543
Glukhov P.P.,251,7.25412
Pimenov Z.Y.,230,8.88572
Dmitriev E.G.,114,3.06322
Kriuchkov G.K.,226,5.13274
KHudiakov M.T.,277,8.45982
Simonov J.T.,154,8.41511
Panin F.J.,187,4.15395
IAshin L.J.,254,4.67917
Kornilov F.E.,196,1.78328
Malyshev D.L.,147,5.71655
Prokofev S.A.,155,0.330538
ZHdanov L.K.,172,4.9848
Shcherbakov Z.P.,133,7.48293
Kopylov L.Y.,197,8.90737
Anokhin M.T.,280,8.4204
Korshunov D.E.,282,2.12752
Romanov P.D.,112,1.30427
Lykov B.F.,281,2.74588
Pokrovskii A.J.,201,4.14293
Berezin A.P.,203,7.0982
Fadeev Y.F.,164,2.39911
Kukushkin E.G.,298,3.1754
Shilov Y.N.,199,6.52059
Skvortsov D.N.,153,6.81346
Kovalev I.I.,118,3.87725
Cherniaev K.D.,290,1.47533
Korolev L.T.,114,8.45576
Rodin M.Z.,200,9.55409
Nikulin L.D.,177,1.48152
KHaritonov Z.I.,155,4.08767
Postnikov D.L.,283,5.64899
Tretiakov F.K.,206,4.88515
Shirokov J.Z.,193,9.61095
Agapov D.E.,289,1.99757
Zaitsev G.M.,110,6.29269
Meshkov D.N.,253,6.51254
Tumanov M.S.,254,8.03073
Izmailov F.K.,266,4.76432
Mironov I.E.,125,2.0325
Mikhailov A.Y.,103,9.01673
Sevastianov J.D.,238,1.42021
KHromov Z.I.,274,4.10313
Aleshin D.Y.,226,8.85648
Bychkov B.D.,247,1.62199
Shevelev B.I.,245,3.65339
Fedosov F.D.,300,1.35109
ZHilin S.J.,278,4.55307
Gromov G.J.,146,4.523
Eliseev S.Y.,161,9.31674
Platonov N.E.,170,2.15248
Agafonov N.Y.,203,9.08922
Starostin F.T.,218,8.6086
Kapustin K.K.,270,5.05956
Spiridonov M.S.,182,8.17561
Kondratov P.J.,269,4.62245
Belousov Z.M.,154,6.32739
Karasev J.T.,183,8.24697
Shmelev N.N.,207,7.02207
Larionov Z.Z.,194,9.54415
Voronov T.F.,157,2.89316
Maslov L.K.,135,5.14435
Fomin B.J.,130,4.14028
Makeev L.T.,214,8.76566
Shcheglov J.P.,261,7.29748
Pavlov T.P.,106,7.15642
Rozhkov S.P.,207,7.06535
Pankratov P.A.,200,0.190924
Dobrynin Y.K.,292,5.24987
Vishnevskii J.B.,250,0.651939
Zubov P.K.,211,4.88943
Sizov N.N.,279,6.82049
Kozyrev E.Y.,225,9.16634
Kondratov T.Y.,269,8.90019
Martynov L.D.,132,1.39195
Ermakov J.Z.,142,9.89362
Ananev E.J.,243,4.46023
Kulikov G.K.,126,5.14659
Kovalev T.J.,118,4.39726
Prokofev J.S.,155,8.0665
Smirnov I.E.,100,2.11519
Karasev Z.D.,183,1.53604
Lebedev M.M.,105,6.1635
KHomiakov A.A.,242,0.00878999
Ermilov S.P.,288,7.27335
Panov G.J.,148,4.17724
Rodionov N.N.,136,6.80562
KHokhlov E.T.,163,8.3642
ZHilin P.T.,278,8.28708
Pimenov B.B.,231,0.817376
Savelev P.M.,130,6.29572
Dubrovin E.E.,236,2.13547
Serov B.I.,177,3.88823
Terentev Z.Z.,177,9.47545
Rodin I.F.,200,2.69215
Danilov N.F.,129,2.84035
Sukhanov S.S.,218,7.83865
Kapustin J.F.,269,2.82156
Ryzhov E.A.,218,0.113162
Dobrynin E.Z.,292,9.83236
Tkachev F.S.,211,8.19726
Danilov D.I.,129,3.98144
Riabinin M.E.,297,1.7688
Chistiakov T.D.,182,1.57731
Tikhonov Z.F.,128,2.57169
Zolotarev E.B.,213,1.01637
Gorbunov E.M.,150,6.34717
Lukin N.S.,198,7.9477
Shirokov N.P.,193,7.5294
Chebotarev N.M.,293,6.3343
Mironov A.M.,125,5.98217
Naumov E.G.,140,3.18778
Fadeev N.B.,164,1.17437
Aleshin P.K.,226,5.26123
Mironov L.L.,125,5.87989
Pimenov G.N.,230,7.02989
Rozanov D.D.,224,1.61688
Shcheglov K.T.,261,8.60226
Kondratev S.L.,149,5.56836
Nefedov P.G.,195,3.16007
Terentev D.K.,178,5.28548
ZHuravlev G.L.,140,5.88119
Semenov K.J.,105,4.30848
Babushkin F.I.,281,3.70226
Nechaev I.J.,185,4.46866
Tikhonov K.I.,128,3.87831
Cherniaev F.B.,290,0.782632
Nosov I.F.,182,2.53922
Kulikov N.N.,126,6.76237
KHudiakov K.P.,278,7.28608
Belov P.Z.,118,9.44753
Efimov J.Y.,132,9.40163
Aleksandrov G.J.,114,4.60434
Korotkov K.N.,173,6.61355
Anisimov I.M.,150,6.0564
Vlasov Z.D.,127,1.50394
Fomichev N.G.,257,3.43818
Kozhevnikov L.K.,191,5.22808
Borodin T.A.,170,0.149506
